iter	Logloss
0	0.6898705289
1	0.686369789
2	0.6833086602
3	0.6801449692
4	0.6770476797
5	0.674123015
6	0.6709372098
7	0.6680397498
8	0.6663305433
9	0.6635631914
10	0.6607392693
11	0.6580115687
12	0.6550467802
13	0.6521816102
14	0.6501917954
15	0.6479269338
16	0.6452955081
17	0.6425830402
18	0.6398623584
19	0.6373940694
20	0.6345491079
21	0.6320201033
22	0.6305834539
23	0.6281660804
24	0.6255079658
25	0.6231238215
26	0.6207660811
27	0.6184501082
28	0.6161121847
29	0.6136840545
30	0.6113081828
31	0.6091473267
32	0.6068112501
33	0.604780395
34	0.6031553265
35	0.6014020574
36	0.5992665987
37	0.5971012206
38	0.5951696528
39	0.5929783677
40	0.5907142809
41	0.5888684349
42	0.5866930943
43	0.5849323981
44	0.5835308871
45	0.5817970652
46	0.5795172344
47	0.5775032678
48	0.5753549684
49	0.5733074645
50	0.5718086413
51	0.5702389324
52	0.5682078614
53	0.566256421
54	0.5642954446
55	0.5625044697
56	0.5605598613
57	0.5588344428
58	0.5573153995
59	0.555365635
60	0.5533845124
61	0.552131899
62	0.5504323704
63	0.5491347632
64	0.5482158582
65	0.5469593202
66	0.5457729538
67	0.5441880034
68	0.5428658982
69	0.5415664028
70	0.5400034881
71	0.5385558514
72	0.5369499639
73	0.5355181263
74	0.5337938895
75	0.532083449
76	0.5305588991
77	0.5290028568
78	0.5275359605
79	0.5259140386
80	0.5245522747
81	0.5234122067
82	0.522255521
83	0.5211696117
84	0.5200082449
85	0.5191551612
86	0.5176046922
87	0.5164324666
88	0.5148062414
89	0.5134374247
90	0.5120406696
91	0.5107655183
92	0.5094610141
93	0.5081617464
94	0.5069096971
95	0.5057779678
96	0.5044716048
97	0.5038316525
98	0.5024822562
99	0.5010863701
100	0.4998267821
101	0.4987151899
102	0.4976410319
103	0.4964771043
104	0.4952750322
105	0.4941278283
106	0.4929358704
107	0.4924368279
108	0.4912920052
109	0.490436027
110	0.4892933407
111	0.488323202
112	0.4874105463
113	0.4861793552
114	0.4856815641
115	0.4846515788
116	0.4840362438
117	0.4832334224
118	0.4822046948
119	0.4811830775
120	0.4800764316
121	0.4794061775
122	0.4784636769
123	0.4775586254
124	0.4765925934
125	0.4755319493
126	0.474636474
127	0.4741374391
128	0.4731431762
129	0.472047153
130	0.4712088454
131	0.4703105773
132	0.469406725
133	0.4685246556
134	0.467680177
135	0.4669591737
136	0.466188556
137	0.4653488745
138	0.4645083356
139	0.4637036187
140	0.4630126842
141	0.4622050833
142	0.4612504766
143	0.460927367
144	0.4601938583
145	0.4596244033
146	0.4586701976
147	0.4583096136
148	0.4575597199
149	0.456751817
150	0.4560782611
151	0.455197328
152	0.4547536537
153	0.4541002312
154	0.4533207522
155	0.452638822
156	0.4519074142
157	0.451032737
158	0.4503745492
159	0.4495870665
160	0.4489085782
161	0.4482218926
162	0.4477250403
163	0.4474442237
164	0.4468682789
165	0.4463160934
166	0.4455889445
167	0.4452051426
168	0.4446282644
169	0.4440756182
170	0.4435253403
171	0.4427950105
172	0.4422354916
173	0.4416902314
174	0.4410044372
175	0.4405738026
176	0.439973594
177	0.43955927
178	0.4389324547
