iter	Passed	Remaining
0	4	7438
1	10	7732
2	14	7202
3	18	7067
4	24	7238
5	28	7057
6	33	7100
7	39	7396
8	42	6976
9	46	6946
10	55	7485
11	59	7410
12	63	7308
13	69	7408
14	74	7329
15	78	7273
16	84	7369
17	88	7319
18	93	7274
19	98	7271
20	102	7206
21	106	7168
22	108	6985
23	112	6943
24	117	6916
25	121	6896
26	126	6885
27	131	6906
28	135	6883
29	139	6856
30	146	6943
31	151	6929
32	155	6892
33	160	6919
34	164	6891
35	168	6868
36	173	6871
37	179	6905
38	185	6957
39	191	6995
40	195	6971
41	202	7028
42	208	7055
43	214	7107
44	222	7193
45	226	7173
46	232	7172
47	238	7212
48	244	7253
49	250	7266
50	256	7292
51	261	7282
52	269	7365
53	278	7444
54	283	7455
55	290	7482
56	296	7515
57	302	7509
58	307	7498
59	312	7493
60	318	7520
61	323	7508
62	334	7629
63	337	7581
64	347	7674
65	350	7619
66	356	7631
67	366	7716
68	375	7792
69	387	7910
70	405	8152
71	412	8190
72	423	8269
73	428	8265
74	435	8273
75	440	8254
76	451	8337
77	468	8542
78	474	8536
79	483	8583
80	488	8554
81	496	8585
82	503	8599
83	513	8653
84	518	8629
85	552	9091
86	561	9124
87	574	9217
88	583	9245
89	631	9899
90	695	10761
91	701	10728
92	709	10730
93	714	10684
94	720	10656
95	725	10608
96	730	10566
97	735	10528
98	740	10483
99	745	10437
100	752	10421
101	756	10371
102	761	10325
103	767	10307
104	773	10272
105	777	10226
106	783	10204
107	786	10137
108	791	10096
109	797	10073
110	801	10034
111	807	10003
112	813	9982
113	817	9943
114	821	9894
115	826	9858
116	830	9813
117	834	9773
118	838	9734
119	846	9731
120	850	9695
121	854	9647
122	860	9637
123	865	9605
124	870	9572
125	876	9563
126	881	9528
127	885	9491
128	892	9486
129	897	9454
130	902	9426
131	909	9430
132	914	9401
133	920	9379
134	925	9352
135	929	9325
136	940	9361
137	971	9592
138	990	9697
139	1003	9747
140	1008	9720
141	1022	9779
142	1027	9753
143	1034	9738
144	1038	9706
145	1045	9698
146	1049	9664
147	1053	9620
148	1061	9628
149	1066	9598
150	1070	9566
151	1078	9563
152	1081	9524
153	1086	9496
154	1094	9497
155	1099	9472
156	1108	9482
157	1113	9456
158	1118	9431
159	1128	9447
160	1133	9426
161	1149	9491
162	1159	9506
163	1164	9483
164	1173	9495
165	1178	9474
166	1188	9488
167	1194	9468
168	1198	9439
169	1206	9436
170	1211	9414
171	1222	9441
172	1229	9428
173	1236	9425
174	1242	9404
175	1250	9404
176	1255	9381
177	1258	9346
178	1265	9339
179	1270	9315
180	1276	9301
181	1282	9290
182	1287	9265
183	1297	9282
184	1302	9260
185	1310	9260
186	1315	9236
187	1319	9209
188	1326	9203
189	1331	9179
190	1335	9155
191	1343	9151
192	1348	9129
193	1356	9132
194	1362	9115
195	1374	9143
196	1379	9121
197	1383	9098
198	1391	9098
199	1399	9096
200	1410	9115
201	1415	9097
202	1423	9096
203	1428	9075
204	1436	9076
205	1441	9053
206	1446	9032
207	1453	9029
208	1458	9008
209	1465	9005
210	1471	8986
211	1475	8965
212	1483	8964
213	1488	8944
214	1494	8929
215	1499	8912
216	1503	8890
217	1508	8872
218	1513	8852
219	1517	8830
220	1522	8808
221	1527	8793
222	1531	8771
223	1536	8751
224	1542	8738
225	1546	8717
226	1550	8696
227	1553	8668
228	1558	8652
229	1563	8631
230	1567	8610
231	1573	8600
232	1578	8584
233	1583	8565
234	1586	8539
235	1590	8519
236	1594	8499
237	1599	8480
238	1604	8466
239	1608	8446
240	1613	8426
241	1615	8399
242	1620	8384
243	1625	8365
244	1629	8348
245	1635	8335
246	1639	8318
247	1644	8300
248	1649	8288
249	1654	8270
250	1660	8264
251	1667	8258
252	1673	8247
253	1678	8233
254	1684	8222
255	1688	8204
256	1692	8187
257	1698	8174
258	1702	8157
259	1705	8132
260	1709	8113
261	1713	8096
262	1717	8079
263	1722	8062
264	1728	8054
265	1732	8039
266	1736	8021
267	1742	8009
268	1746	7992
269	1751	7976
270	1755	7962
271	1760	7947
272	1764	7931
273	1769	7916
274	1774	7904
275	1778	7888
276	1782	7872
277	1787	7857
278	1792	7842
279	1796	7827
280	1800	7812
281	1804	7794
282	1808	7775
283	1812	7761
284	1817	7747
285	1821	7733
286	1826	7718
287	1830	7702
288	1836	7694
289	1840	7679
290	1846	7670
291	1852	7665
292	1857	7652
293	1862	7638
294	1870	7640
295	1875	7629
296	1882	7624
297	1886	7609
298	1890	7595
299	1895	7580
300	1900	7568
301	1904	7554
302	1909	7542
303	1917	7544
304	1922	7533
305	1928	7526
306	1934	7518
307	1964	7601
308	1977	7621
309	1981	7607
310	1987	7598
311	1993	7592
312	1998	7578
313	2002	7565
314	2009	7560
315	2014	7547
316	2018	7534
317	2025	7529
318	2030	7515
319	2033	7498
320	2041	7497
321	2045	7484
322	2050	7470
323	2056	7464
324	2060	7449
